be	was	been
overdrive	overdrove	overdriven
ret	retted	retted
slur	slurred	slurred
embody	embodied	embodied
globe-trot	globe-trotted	globe-trotted
rectify	rectified	rectified
skim	skimmed	skimmed
amplify	amplified	amplified
diversify	diversified	diversified
hamstring	hamstrung	hamstrung
horseshoe	horseshod	horseshod
infer	inferred	inferred
intensify	intensified	intensified
kennel	kenneled	kenneled
propel	propelled	propelled
strut	strutted	strutted
tot	totted	totted
bayonet	bayoneted	bayoneted
misunderstand	misunderstood	misunderstood
ply	plied	plied
cram	crammed	crammed
grub	grubbed	grubbed
hoist	hoist	hoist
nab	nabbed	nabbed
yak	yakked	yakked
flurry	flurried	flurried
revel	reveled	reveled
rut	rutted	rutted
sully	sullied	sullied
dispel	dispelled	dispelled
epoxy	epoxied	epoxied
fob	fobbed	fobbed
jig	jigged	jigged
mow	mowed	mowed
plat	platted	platted
undercut	undercut	undercut
lug	lugged	lugged
remit	remitted	remitted
unwind	unwound	unwound
beset	beset	beset
certify	certified	certified
pry	pried	pried
stub	stubbed	stubbed
blob	blobbed	blobbed
bootleg	bootlegged	bootlegged
gan	went	gane
omit	omitted	omitted
telecast	telecast	telecast
unify	unified	unified
brim	brimmed	brimmed
corral	corralled	corralled
purify	purified	purified
spar	sparred	sparred
succumb	succumbed	succumbed
wad	wadded	wadded
crayon	crayonned	crayonned
glorify	glorified	glorified
jag	jagged	jagged
overcast	overcast	overcast
cabal	cabaled	cabaled
hap	happed	happed
kip	kipped	kipped
stave	stove	stove
tarmac	tarmacked	tarmacked
blot	blotted	blotted
corset	corseted	corseted
twig	twigged	twigged
wag	wagged	wagged
shag	shagged	shagged
cog	cogged	cogged
alight	alighted	alighted
chit-chat	chit-chatted	chit-chatted
reread	reread	reread
travesty	travestied	travestied
clog	clogged	clogged
forgo	forwent	forgone
solidify	solidified	solidified
swivel	swiveled	swiveled
daydream	daydreamed	daydreamed
lob	lobbed	lobbed
atrophy	atrophied	atrophied
bib	bibbed	bibbed
facsimile	facsimiled	facsimiled
yearn	yearned	yearned
caddy	caddied	caddied
chisel	chiseled	chiseled
misread	misread	misread
outrun	outran	outrun
sonnet	sonnetted	sonnetted
zap	zapped	zapped
sunburn	sunburned	sunburned
unplug	unplugged	unplugged
disqualify	disqualified	disqualified
embed	embedded	embedded
ratify	ratified	ratified
recast	recast	recast
tut	tutted	tutted
yap	yapped	yapped
disprove	disproved	disproved
resell	resold	resold
smite	smote	smitten
bogey	bogeyed	bogeyed
chug	chugged	chugged
gad	gadded	gadded
remodel	remodeled	remodeled
forsake	forsook	forsaken
hiccup	hiccuped	hiccuped
reeve	rove	rove
scat	scatted	scatted
fortify	fortified	fortified
heave	hove	hove
rerun	reran	rerun
snub	snubbed	snubbed
spew	spewed	spewed
thud	thudded	thudded
whiz	whizzed	whizzed
putty	puttied	puttied
rework	reworked	reworked
tampon	tamponned	tamponned
bootstrap	bootstrapped	bootstrapped
prim	primmed	primmed
slog	slogged	slogged
smut	smutted	smutted
sop	sopped	sopped
vitriol	vitrioled	vitrioled
chagrin	chagrined	chagrined
debug	debugged	debugged
